num_qubits,space_time_volume
10,573440
20,2048000
30,4423680
40,7700480
50,11878400
60,16711680
70,22650880
80,29163520
90,36864000
100,45056000
110,54517760
120,64389120
130,75612160
140,87162880
150,100147200
160,113377280
170,128122880
180,143032320
190,158760960
200,176128000
210,193536000
220,211763200
230,231751680
240,251658240
250,272384000
260,294993920
270,317399040
280,340623360
290,365854720
300,390758400
310,416481280
320,443023360
330,471736320
340,499957760
350,528998400
