num_qubits,space_time_volume
10,2079756
20,2079756
30,2079756
40,4159512
50,4159512
60,4159512
70,4159512
80,10621044
90,10621044
100,10621044
110,14161392
120,14161392
130,14161392
140,14161392
150,25004700
160,25004700
170,25004700
180,25004700
190,30005640
200,30005640
210,30005640
220,45230724
230,45230724
240,45230724
250,45230724
260,51692256
270,51692256
280,51692256
290,71299116
300,71299116
310,71299116
320,71299116
330,79221240
340,79221240
350,79221240
