num_qubits,space_time_volume
10,36700160
20,131072000
30,283115520
40,492830720
50,760217600
60,1069547520
70,1449656320
80,1866465280
90,2359296000
100,2883584000
110,3489136640
120,4120903680
130,4839178240
140,5578424320
150,6409420800
160,7256145920
170,8199864320
180,9154068480
190,10160701440
200,11272192000
210,12386304000
220,13552844800
230,14832107520
240,16106127360
250,17432576000
260,18879610880
270,20313538560
280,21799895040
290,23414702080
300,25008537600
310,26654801920
320,28353495040
330,30191124480
340,31997296640
350,33855897600
