num_qubits,space_time_volume
10,4587520
20,16384000
30,35389440
40,61603840
50,95027200
60,133693440
70,181207040
80,233308160
90,294912000
100,360448000
110,436142080
120,515112960
130,604897280
140,697303040
150,801177600
160,907018240
170,1024983040
180,1144258560
190,1270087680
200,1409024000
210,1548288000
220,1694105600
230,1854013440
240,2013265920
250,2179072000
260,2359951360
270,2539192320
280,2724986880
290,2926837760
300,3126067200
310,3331850240
320,3544186880
330,3773890560
340,3999662080
350,4231987200
