num_qubits,space_time_volume
10,419840
20,1822720
30,3840000
40,6594560
50,9881600
60,13578240
70,17848320
80,22691840
90,27740160
100,33689600
110,39761920
120,46325760
130,53381120
140,60928000
150,69580800
160,77496320
170,86517760
180,96030720
190,106035200
200,116531200
210,127518720
220,138096640
230,150026240
240,162447360
250,174336000
260,187699200
270,201553920
280,214753280
290,229550080
300,243609600
310,259348480
320,274268160
330,290949120
340,306728960
350,324352000
